Review,Rating
I'll throw out the garbage .,neutral
"So Dick , how about getting some coffee for tonight ?",positive
"Come on , you can at least try a little , besides your cigarette .",neutral
What ’ s wrong with that ? Cigarette is the thing I go crazy for .,negative
"Not for me , Dick .",neutral
Are things still going badly with your houseguest ?,neutral
"Getting worse . Now he ’ s eating me out of house and home . I ’ Ve tried talking to him but it all goes in one ear and out the other . He makes himself at home , which is fine . But what really gets me is that yesterday he walked into the living room in the raw and I had company over ! That was the last straw .",negative
"Leo , I really think you ’ re beating around the bush with this guy . I know he used to be your best friend in college , but I really think it ’ s time to lay down the law .",neutral
You ’ re right . Everything is probably going to come to a head tonight . I ’ ll keep you informed .,neutral
Would you mind waiting a while ?,neutral
"Well , how long will it be ?",neutral
I'm not sure . But I'll get a table ready as fast as I can .,neutral
OK . We'll wait .,positive
Are you going to the annual party ? I can give you a ride if you need one .,neutral
Thanks a lot . That's the favor I was going to ask you for .,positive
The pleasure is mine .,positive
"Isn ’ t he the best instructor ? I think he ’ s so hot . Wow ! I really feel energized , don ’ t you ?",positive
What ’ s wrong ? Didn ’ t you think it was fun ? !,positive
"Oh , no , get off it . It wasn ’ t such a killer class . You just have to get into it . Like they say , no pain , no gain .",neutral
I am wiped out . Thank you .,neutral
"Look , next time get yourself some comfy shoes . You ’ re gonna come back again with me , aren ’ t you ?",neutral
Never ! But thank you for inviting me .,neutral
Come on . You ’ ll feel better after we hit the showers .,neutral
Can I take your order now or do you still want to look at the menu ?,neutral
"Well , I want a fillet steak , medium , but my little girl doesn't care for steak . Could she have something else instead ?",neutral
Certainly . How about spaghetti with clams and shrimps .,neutral
Sounds delicious . OK . She'll try that .,positive
Can you manage chopsticks ?,neutral
Why not ? See .,neutral
Good mastery . How do you like our Chinese food ?,positive
"Oh , great ! It's delicious . You see , I am already putting on weight . There is one thing I don't like however , MSG .",positive
What's wrong with MSG ? It helps to bring out the taste of the food .,positive
According to some studies it may cause cancer .,neutral
"Oh , don't let that worry you . If that were true , China wouldn't have such a large population .",neutral
I just happen to have a question for you guys . Why do the Chinese cook the vegetables ? You see what I mean is that most vitamin are destroyed when heated .,neutral
I don't know exactly . It's a tradition . Maybe it's for sanitary reasons .,neutral
I'm exhausted .,neutral
"Okay , let's go home .",neutral
Good evening . Welcome to Cherry's . Do you have a reservation ?,neutral
"No , we don't .",neutral
"How many of you , please ?",neutral
"Six , including two kids .",neutral
I'm afraid all the big tables are taken .,neutral
What kind of food do you like ?,neutral
I like Chinese food .,positive
But your American ?,positive
We have a lot of Chinese restaurants in America .,neutral
"Would you like to take a look at the menu , sir ?",neutral
Yes . Thank you .,positive
Would you care for a drink before you order ?,neutral
A glass of Qingdao beer .,neutral
"Yes , sir . I'll bring it over . Have you decided what you'd like , sir ?",neutral
Will you make some recommendation ?,neutral
"Can I help you sir , what do you need ?",neutral
I need a packet of cigarettes please .,neutral
"Of course sir , no problem .",neutral
Thanks .,positive
"Could I have my bill , please ?",neutral
"Certainly , sir .",neutral
I'm afraid there's been a mistake .,neutral
"I'm sorry , sir . What seems to be the trouble ?",neutral
"I believe you have charged me twice for the same thing . Look , the figure of 6.5 dollar appears here , then again here .",neutral
"I'll just go and check it for you , sir .",neutral
May I sit here ?,neutral
By all means .,positive
Is everything to your satisfaction ?,neutral
"No , the steak was recommended , but it is not very fresh .",negative
