Review,Rating
( After trying ) I'm afraid it's still too fight around the stomach .,neutral
We have tickets for the matinee . It starts at 3p . m .,neutral
What about the red one ? It's the best seller .,neutral
"Well , I don't eat any meat , but I do eat fish and eggs .",neutral
Can I help you in anyway ?,neutral
"Yes , sir . Stainless steel products are always popular .",neutral
This feels great . I'm all reed up . I can keep going all night .,neutral
"Sorry , it's not available now.Anything else ?",neutral
"I would like to book a table for seven thirty o'clock , please .",neutral
"Of course I know it , but you know it's hard to quit smoking ...",neutral
"Sign here , please . You can appeal to the court within 14 days . This slip has all the information you need . Please drive safely , sir .",neutral
The delivery people showed up four hours late .,neutral
What can I do for you ?,neutral
I need to order new business cards .,neutral
Can I pay by credit card ?,neutral
Must I catch a number 7 bus to get there ?,neutral
"I remember your name . Wait for a moment , please . I ’ ll check it for you . Is this black one yours ?",neutral
Ok then . See you next weekend .,positive
"Yes , sir .",neutral
I think it is .,neutral
Which seafood do you prefer ?,neutral
Thank you .,positive
"No , they're not quite what I want . Sorry to trouble you .",neutral
I'm afraid that's the best we can do .,negative
Two hamburgers and French fries .,neutral
Can I help you find something ?,neutral
You'll never lose weight if you listen to your stomach .,neutral
All right . That'll be $ 12.50 . Your pizzas will be there in 30 minutes .,neutral
But I just want to give her some tips .,neutral
Is Tom in ?,neutral
"No , I'm not . I'm going to look for an apartment .",neutral
I ’ Ve just found a mouse in the house !,positive
Er ... Hum ... Got it .,neutral
Would you like your hair washed as well ?,neutral
"Well , they come in white , pale yellow , aqua , red and green . Will a white one do ?",neutral
Welcome to Al ’ s Garage . What seems to be the problem ?,neutral
That's a good word to describe it .,neutral
Exactly . How much do you want for it ?,neutral
Uh ... yeah . Hi ! Is Susie there ?,neutral
I prefer this kind of style . Can you make it for me ?,neutral
Do I have to pay an additional fare to change trains ?,neutral
I will call again in twenty minutes . Thanks .,positive
There's a car dealer down the road . How about going there ?,neutral
That's right . I haven't done that yet .,neutral
"Here we are , Ryan ! This is where we're going to celebrate !",positive
Tell me about Corollas .,neutral
It would be hard for just me to do it . I don't know the city at all .,neutral
This is where we sing ? These booths are so comfortable I think I could fall asleep !,positive
Maybe we can enjoy the TV play together . It's interesting .,neutral
What time is it anyway ?,neutral
I'll share it with one of my friends . What ’ s in a one-bedroom apartment ?,neutral
"I ’ d prefer to see him asap . If I have to wait for another 30 mins , I think I will faint from this unbearable pain in my stomach and ...",neutral
"Well , I like the styte , but I don't think the color fits me . Could you bring me a green one ?",neutral
"Hi , is Heather there please ?",neutral
How do you like your new boss ?,neutral
"All right , if there's no hold-ups .",neutral
"Good , morning ! Can I help you ?",neutral
"Oh , we've just repainted our car . It was red .",neutral
"Well , I wasn't planning on spending that much money today , so ...",neutral
"It's got a kitchen , a bathroom , and one bedroom .",neutral
"Hello , Who's that speaking ?",neutral
"No , I'm fine . I don't need to see a doctor .",neutral
"Um , this steak , I asked for to be medium rare .",neutral
Sure .,positive
"Excuse me , sir ?",neutral
Excuse me !,neutral
It looks great .,neutral
Car trouble center . How may I help you ?,neutral
"Maybe . Oh , I see the Jungle Flying Train . I once rode it . It was very exciting .",positive
What can I do for you ?,neutral
Sure . How do you like your suit ?,neutral
"The needles are very thin , and as long as the doctor's technique is good , and the patient himself is relaxed , it won't hurt-on the contrary it will actually alleviate pain . Now there are high-tech needles that are micro thin ; they don't hurt at all . However , if you are really scared of acupuncture , scraping or cupping are also options .",neutral
Can you recommend one ?,neutral
How do you usually part your hair ?,neutral
Yes . Many things ! I especially love this beautiful quilt .,positive
You've made a good choice . This china tea set is unusual . It was made in Jingdezhen .,neutral
Sure . This is Claire .,neutral
"Oh , sorry to hear that . This is quite unusual . I will look into the matter .",neutral
The Taiwanese won't have time to buy gifts in America . The chat room is more convenient .,neutral
"Dad , can you help me ?",neutral
Can I help you ?,neutral
Hello . Thank you for calling Spend Mart .,neutral
Here we go . There is a museum of the Beijing Opera art .,neutral
"Waiter , I ’ m afraid you must have calculated my bill wrong .",neutral
"Oh , hi , Mary , come on in . Any problem ?",neutral
$ 50 .,neutral
"How would you like the steak , rare , medium , or well-done ?",neutral
I sometimes find the shadow of death in front of me .,negative
When can I expect to have it ?,neutral
"... I am seeing someone . This is Yi-jun , my ...",neutral
How many dogs live in this house ?,neutral
You ’ re welcome .,positive
"And Tom , you will help Johnny with his homework , won't you ?",neutral
